DESCRIPTION,CATEGORY,SUBCATEGORY,cat_label,subcat_label
paid for elctricity bill for this month,Utilities,Electricity,26,18
Bought vegeatbles for this week,Food,Groceries,5,32
Purchased toys for my Pet,Pets,Toys,17,74
went to Sallon for spa,Beauty & Wellness,Spa,1,66
paid bill for monthlu insuarance,Insurance,Home Insurance,12,36
donated to charity,Gifts & Donations,Religious Donations,8,55
paid to petrol pump for fuel,Transportation,Fuel,24,26
travel insuarnce for traveling via train,Insurance,Travel Insurance,12,76
cafe bill for my part,Food,Cafes,5,7
travelled to Delhi via flight,Travel,Air Travel,25,2
monthly housing mortgage bill,Housing,Mortgage,11,45
Bought a gift to my friend for his bithday,Gifts,Birthday Gifts,7,4
snacks for movie time,Food,Snacks,5,64
Netflix monthly subscription bill,Subscriptions,Netflix,21,48
Service tax bill,Taxes,Service Tax,22,63
Domestic flight to mumbai,Travel,Air Travel,25,2
Bought a Sandal for sister,Shopping,Footwear,19,25
movie ticket purchased,Entertainment,Movies,4,46
Packing cost for Supllies,Business,Supplies,2,71
Got penalty for for breaking signal,Miscellaneous,Penalties,13,50
Service tax bill on restaurant,Taxes,Service Tax,22,63
Purchased three sets of earings,Shopping,Accessories,19,0
paid my due internet bill,Utilities,Internet,26,39
water bill of this month,Utilities,Water,26,79
Purchased a new set of dress,Shopping,Clothing,19,11
piad to saloon for  Hair spa,Beauty & Wellness,Spa,1,66
Donation to NGO,Gifts & Donations,Charity,8,9
Monthly car Insurance Bill,Insurance,Car Insurance,12,8
purchased Netflix Subscription,Streaming Services,Netflix,20,48
Sales tax dues,Taxes,Sales Tax,22,59
Spotify per month subscription bill,Subscriptions,Spotify,21,67
paid to government for water bill,Utilities,Water,26,79
Per month GYM fees paid,Personal Care,Gym,15,34
Purchased wedding Gift for my friend,Gifts,Wedding Gifts,7,80
Purchased one stock of Adani,Savings & Investments,Stocks,18,69
paid to restaurant as food bill,Food,Restaurants,5,58
Amazon prime monthy subscription,Entertainment,Amazon Prime,4,3
Bus ticket price for travelling,Transport,Public Transport,23,54
grooming bill of my pet one time,Pets,Grooming,17,33
paid to insurance company for health insurance,Insurance,Health Insurance,12,35
penalty for late bill submission,Miscellaneous,Penalties,13,50
per month health insuarance bill,Insurance,Health Insurance,12,35
debit card penalty charges,Miscellaneous,Uncategorized,13,77
saved  in my savings account,Banking,Savings Account,0,61
penalty for late college fees submission,Miscellaneous,Fees,13,22
Service tax charges on goods,Taxes,Service Tax,22,63
cafe bill for food,Food,Cafes,5,7
indigo flight Travel insuarance,Insurance,Flight Travel Insurance,12,23
paid to taxi for intercity travel,Transport,Taxi,23,72
Veternary fees of my pet dog,Pet Care,Vet,16,78
Bus travel fees to my city,Transport,Bus,23,6
mothlu car insurance bill,Insurance,Car Insurance,12,8
electricity bill for january month,Utilities,Electricity,26,18
Purchased online course on udemy,Education,Online Courses,3,49
montly tax on my current house,Taxes,Property Tax,22,53
Wifi bill of August month,Utilities,Internet,26,39
flight charge for international travel,Travel,Air Travel,25,2
birthday gift purchase for my sister,Gifts,Birthday Gifts,7,4
Donation to temple for food,Gifts & Donations,Religious Donations,8,55
Bought bus ticket for travel to nagpur,Transport,Bus,23,6
GYM fees for june month,Personal Care,Gym,15,34
Bought Shies for my self,Shopping,Footwear,19,25
saved into my bank,Banking,Savings Account,0,61
Electricity bill of December Month,Utilities,Electricity,26,18
Life insurance bill per month,Insurance,Insurance,12,38
Bought a book fo advance Java,Education,Books,3,5
Paid to medical store,Healthcare,Medicines,9,43
paid government sales tax for a purchase,Taxes,Sales Tax,22,59
School tution fees paid for academic term,Education,School Fees,3,62
paid to government for electricity bill,Utilities,Electricity,26,18
savings deposited into bank account,Banking,Savings Account,0,61
purchased Macfee antivirus software subscription,Subscriptions,Software,21,65
Flight ticket booking for trip,Travel,Air Travel,25,2
Bought pedigree for my dog,Pets,Food,17,24
Heakth insurance premium payment,Insurance,Insurance,12,38
Fare paid for metro travel,Transport,Metro,23,44
Bought new furniture for home improvement,Home Improvement,Furnishing,10,27
Water bill payment for household usage,Utilities,Water,26,79
Monthly mortgage repayment for home,Housing,Mortgage,11,45
Purchased a PS5 for my home,Entertainment,Games,4,28
        Investment made in stock market,Savings & Investments,Stocks,18,69
Government service tax payment for billed services,Taxes,Service Tax,22,63
Payment of miscellaneous fees for services,Miscellaneous,Fees,13,22
E-book bill buyed online,Subscriptions,E-Book,21,16
Monthly mobile recharge bill,Utilities,Internet,26,39
paid for hair spa in my saloon,Beauty & Wellness,Spa,1,66
Payment for online course enrollment of simplilearn,Education,Online Courses,3,49
Annual Property tax payment to government,Taxes,Property Tax,22,53
Purchased fashion accesories,Shopping,Accessories,19,0
Netflix subscription payment for my TV,Streaming Services,Netflix,20,48
Purchased Annual Pack for television recharge,Entertainment,Television,4,73
Bought medicines from medical store,Healthcare,Medicines,9,43
Paid to actors for Advertisemnts,Business,Advertising,2,1
Hair cut bill,Beauty & Wellness,Salon,1,60
repairing cost of my bed,Miscellaneous,Extra Charges,13,21
Gym fess for this month,Personal Care,Gym,15,34
 paid fees of my dentist,Healthcare,Dental,9,13
Intercity metro travel ticket bought,Transport,Metro,23,44
Repairing cost of furniture,Miscellaneous,Extra Charges,13,21
Dental care treatment expense,Healthcare,Dental,9,13
extra money spents on home,Miscellaneous,Extra Charges,13,21
E-magzinee subscription charges,Subscriptions,E-Magazines,21,17
filled petrol in my bike,Transportation,Fuel,24,26
sales tax on groceries,Taxes,Sales Tax,22,59
Sales tax on Restaurant bill;,Taxes,Sales Tax,22,59
Deposited on in bank account as Saving,Banking,Savings Account,0,61
Hair Colour bill for my new hair,Beauty & Wellness,Salon,1,60
Donation to charity for Blind People,Gifts & Donations,Religious Donations,8,55
Bought Gas cylinder,Utilities,Gas,26,29
Piad to coursera for new Course  Enrollment,Education,Online Courses,3,49
Property tax payment to government,Taxes,Property Tax,22,53
Sales tax payment for purrchased good,Taxes,Sales Tax,22,59
Bought a game from Epic games,Entertainment,Games,4,28
Bought a book for school,Education,Books,3,5
Veterinary service payment for vet care,Pet Care,Vet,16,78
purchase anitvirus software for 1 month,Subscriptions,Software,21,65
Purchased acessories for my laptop,Shopping,Accessories,19,0
Travel insurance for my trip,Insurance,Travel Insurance,12,76
Property tax payment to local authority,Taxes,Property Tax,22,53
Bought a footware for myself,Shopping,Footwear,19,25
Domestic flight ticket charges,Travel,Air Travel,25,2
Flight travel insurance,Insurance,Travel Insurance,12,76
Purchased hold for my mother,Savings & Investments,Gold,18,31
Monthly mortgae repaymentt,Housing,Mortgage,11,45
Got some toys for my pet dog,Pets,Toys,17,74
painkillers purchased from medical store,Healthcare,Medicines,9,43
Purchased snacks for movie time,Food,Snacks,5,64
Mortgage expense,Housing,Mortgage,11,45
Annual home insuarance payment ,Insurance,Home Insurance,12,36
Got a taxi to travel to friends house,Transport,Taxi,23,72
Deposited to Band into saving acvount for future,Banking,Savings Account,0,61
Bill for food with friend of cafe,Food,Cafes,5,7
Monthly Property tax for my house,Taxes,Property Tax,22,53
My pet grooming charges,Pets,Grooming,17,33
Stationary bill for my school,Education,Stationery,3,68
Monthly income tax paid from salary,Taxes,Income Tax,22,37
Investment made in mutual funds,Savings & Investments,Mutual Funds,18,47
purchased book for school,Education,Books,3,5
Home insurance premium payment,Insurance,Home Insurance,12,36
internet bill for September month,Utilities,Internet,26,39
Payment for software subscription and license,Subscriptions,Software,21,65
desposited into savings account bank,Banking,Savings Account,0,61
Bought some vegetables for my house,Food & Essentials,Groceries,6,32
Fees payment for my college semester,Miscellaneous,Fees,13,22
domestic air travel,Travel,Air Travel,25,2
Annual home insuarance payment ,Insurance,Home Insurance,12,36
purchased Nike shoes for friend,Shopping,Footwear,19,25
paid to government for Gas pipeline,Utilities,Gas,26,29
lost item recollection fees,Miscellaneous,Lost Item,13,40
bought groceries for my home,Food & Essentials,Groceries,6,32
purchased stocked for savings ,Savings & Investments,Stocks,18,69
Payment for software subscription and license,Subscriptions,Software,21,65
sales tax on regular purchases,Taxes,Sales Tax,22,59
monthly Health insurance,Insurance,Health Insurance,12,35
Buisness promotion charges for banners and poster,Business,Promotion,2,52
House rent charges in pune,Housing,Rent,11,56
fuel for my scooty,Transportation,Fuel,24,26
Monthly gym expense,Personal Care,Gym,15,34
Electronics shopping for my new house,Shopping,Electronics,19,19
Signal breaking penalty,Miscellaneous,Penalties,13,50
bought Pet food for my dogs,Pets,Food,17,24
Family Doctore charges for home visit,Healthcare,Doctor Visit,9,15
Family Dinner bill payment,Food,Restaurants,5,58
Charity donation for flood infected,Gifts & Donations,Charity,8,9
Income tax paid to government,Taxes,Income Tax,22,37
purchased a new TV,Shopping,Electronics,19,19
Deposted into Savings Bank,Banking,Savings Account,0,61
Grooming fees for my cat,Pets,Grooming,17,33
Organised a event in college,Entertainment,Events,4,20
Dentist fees,Healthcare,Dental,9,13
Monthly rent of my flat,Housing,Rent,11,56
Bought chips and other snacks,Food,Snacks,5,64
Birthday gift of my sister,Gifts,Birthday Gifts,7,4
Bought Night slippers,Shopping,Footwear,19,25
Bought foor for current academic year,Education,Books,3,5
General health checkup,Healthcare,General,9,30
Game cater bill,Entertainment,Games,4,28
Pet general checkup,Pet Care,Vet,16,78
Bougnt new sofa set for house,Home Improvement,Furnishing,10,27
Monthly Property tax for my house,Taxes,Property Tax,22,53
paid school fees,Education,School Fees,3,62
annnual school fees paid,Education,School Fees,3,62
gym fees per month,Personal Care,Gym,15,34
bought a new pair of slippers,Shopping,Footwear,19,25
purchased a new stock,Savings & Investments,Stocks,18,69
repair a bulb holder,Housing,Repairs,11,57
bought new pair of jeans,Shopping,Clothing,19,11
hair cut ,Beauty & Wellness,Salon,1,60
bought an online course,Education,Online Courses,3,49
bought some new supplies for buisness stuff,Business,Supplies,2,71
repaired my new sandals,Housing,Repairs,11,57
Montly car insuraance bill,Insurance,Car Insurance,12,8
life insuarance montlhy,Insurance,Insurance,12,38
Mutual funds savings ,Savings & Investments,Mutual Funds,18,47
Bought books for my child,Education,Books,3,5
Bought phone cover for my father,Shopping,Accessories,19,0
Made a table from carpenter,Home Improvement,Furnishing,10,27
penalty for debit card,Miscellaneous,Penalties,13,50
gave donation in temple,Gifts & Donations,Religious Donations,8,55
Purchased some toys for my cat pet,Pets,Toys,17,74
gave room rent in nagpur,Housing,Rent,11,56
advertisement for buisness sale,Business,Advertising,2,1
party bills,Food,Cafes,5,7
bought new blanket,Shopping,Accessories,19,0
paid to novelty book store,Education,Books,3,5
purchased new earphone,Shopping,Electronics,19,19
Advetisement bill,Business,Advertising,2,1
Tavel cost for stafff,Business,Travel,2,75
Flight to goa for trip,Travel,Air Travel,25,2
rent in pune for living,Housing,Rent,11,56
Cavity removal treatment bill,Healthcare,Dental,9,13
Government tax charged on specific services,Taxes,Service Tax,22,63
Purchase of gifts for a wedding ceremony,Gifts,Wedding Gifts,7,80
Monthly/annual subscription for online streaming,Streaming Services,Netflix,20,48
	Fees for online learning or certification programs,Education,Online Courses,3,49
Monthly payment for rented accommodation or office,Housing,Rent,11,56
Premium paid to insure a vehicle,Insurance,Car Insurance,12,8
Purchase of toys for children or gifting,Shopping,Toys,14,74
Tuition or academic fees for a student,Education,School Fees,3,62
Beauty and personal care products,Personal Care,Cosmetics,15,12
Investment in mutual fund schemes,Savings & Investments,Mutual Funds,18,47
	Loan repayment for property purchase,Housing,Mortgage,11,45
Expenses for groceries or dining,Pets,Food,17,24
Government tax charged on specific services,Taxes,Service Tax,22,63
Premium paid for travel coverage,Insurance,Travel Insurance,12,76
Premium paid for insuring a house/property,Insurance,Home Insurance,12,36
Monthly electricity bill payment,Utilities,Electricity,26,18
	Purchase of fashion or utility accessories,Shopping,Accessories,19,0
Dental treatment or check-up fees,Healthcare,Dental,9,13
Dining out at restaurants,Food,Restaurants,5,58
Business lunch meeting with a client,Business,Client Lunch,2,10
Transportation or trip expenses,Business,Travel,2,75
Monthly/annual subscription for online streaming,Entertainment,Netflix,4,48
Deposit or transfer to a savings account,Banking,Savings Account,0,61
Purchase of books or educational material,Education,Books,3,5
Dining out at restaurants,Food,Restaurants,5,58
Purchase of office or business supplies,Business,Supplies,2,71
Tickets or rentals for films,Entertainment,Movies,4,46
Payment for gas utility service,Utilities,Gas,26,29
Replacement cost for a lost item,Miscellaneous,Lost Item,13,40
Medical consultation or check-up fees,Healthcare,Doctor Visit,9,15
Purchase of shoes or sandals,Shopping,Footwear,19,25
Purchase of office or business supplies,Business,Supplies,2,71
Expenses for airline tickets,Travel,Air Travel,25,2
Government tax charged on specific services,Taxes,Service Tax,22,63
	Dental treatment or check-up fees,Healthcare,Dental,9,13
Beauty and personal care products,Personal Care,Cosmetics,15,12
purchased a subscription of a video streaming app,Entertainment,Streaming,4,70
invest in digital gold,Savings & Investments,Gold,18,31
lost some item,Miscellaneous,Lost Item,13,40
purchased costemics for myself,Personal Care,Cosmetics,15,12
business advertisment,Business,Advertising,2,1
paid electricity bill for the month april,Utilities,Electricity,26,18
bought food for my pet,Pets,Food,17,24
clothes for childrens,Shopping,Clothing,19,11
insurance for family,Insurance,Insurance,12,38
invested in stocks,Savings & Investments,Stocks,18,69
paid water bill for the month november,Utilities,Water,26,79
lost shoes in mandir,Miscellaneous,Lost Item,13,40
bought royal pass in bgmi game,Entertainment,Games,4,28
bought tickets for some event,Entertainment,Events,4,20
donated in charity,Gifts & Donations,Charity,8,9
fees of somthing,Miscellaneous,Fees,13,22
subscription of some software,Subscriptions,Software,21,65
birthday gift for father,Gifts,Birthday Gifts,7,4
fees of anything,Miscellaneous,Fees,13,22
replacement of furniture,Home Improvement,Furnishing,10,27
took travel insurance whie booking ticket,Insurance,Travel Insurance,12,76
took a short spa in salon,Personal Care,Spa,15,66
booked movie ticket ,Entertainment,Movies,4,46
subscription of streaming app,Entertainment,Streaming,4,70
bought home insurance,Insurance,Home Insurance,12,36
paid service tax,Taxes,Service Tax,22,63
suppies for business,Business,Supplies,2,71
dental care once month ,Healthcare,Dental,9,13
grooming my dog pet,Pets,Grooming,17,33
wedding gift for brother,Gifts,Wedding Gifts,7,80
in game purchases,Entertainment,Games,4,28
gold investment,Savings & Investments,Gold,18,31
bought insurance of something,Insurance,Insurance,12,38
business travel,Business,Travel,2,75
had dinner with family in a restaurant,Food,Dinner,5,14
visited docter for regular checkup,Healthcare,Doctor Visit,9,15
paid gas bill,Utilities,Gas,26,29
had lunch in cafe,Food,Cafes,5,7
car insurance for my car,Insurance,Car Insurance,12,8
bought facial kit for my girlfriend,Personal Care,Cosmetics,15,12
paid property tax,Taxes,Property Tax,22,53
grooming my pet,Pets,Grooming,17,33
netflix subscription,Subscriptions,Netflix,21,48
